"orden","n_comp","fecha_emision","cod_cliente","figura","importe","bonif_sin_imp","imp_gravado","imp_exento","imp_iva","montib","gastadmi","boniflibro","bonifcosme","bonifpract","porclider","boniflider","bonifivadic","zona"
2,"B0000700035230","2024-02-20",601198501,2,0.0,0.0,0.0,0.0,1718.18,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
5,"B0000700035233","2024-02-20",601745340,2,0.0,0.0,0.0,0.0,5119.83,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
6,"B0000700035234","2024-02-20",601780505,2,0.0,0.0,0.0,0.0,5206.6,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
11,"B0000700035239","2024-02-20",602744883,2,0.0,0.0,0.0,0.0,1301.48,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
13,"B0000700035241","2024-02-20",602773569,2,0.0,0.0,0.0,0.0,3592.55,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
18,"B0000700035246","2024-02-20",602945436,2,0.0,0.0,0.0,0.0,2603.3,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
19,"B0000700035247","2024-02-20",603018193,2,0.0,0.0,0.0,0.0,4529.75,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
20,"B0000700035248","2024-02-20",603042106,2,0.0,0.0,0.0,0.0,3037.01,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
21,"B0000700035249","2024-02-20",603044045,2,0.0,0.0,0.0,0.0,3037.02,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
22,"B0000700035250","2024-02-20",603143165,2,0.0,0.0,0.0,0.0,3592.56,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
23,"B0000700035251","2024-02-20",603175913,2,0.0,0.0,0.0,0.0,3670.65,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
24,"B0000700035252","2024-02-20",603232336,2,0.0,0.0,0.0,0.0,2776.68,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
26,"B0000700035254","2024-02-20",603433283,2,0.0,0.0,0.0,0.0,2120.65,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
28,"B0000700035256","2024-02-20",603547573,2,0.0,0.0,0.0,0.0,6746.99,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
32,"B0000700035260","2024-02-20",603677970,2,0.0,0.0,0.0,0.0,3818.18,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
33,"B0000700035261","2024-02-20",603683255,2,0.0,0.0,0.0,0.0,1301.48,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
36,"B0000700035264","2024-02-20",603805121,2,0.0,0.0,0.0,0.0,3037.01,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
39,"B0000700035267","2024-02-20",603994162,2,0.0,0.0,0.0,0.0,3297.35,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
42,"B0000700035270","2024-02-20",604176415,2,0.0,0.0,0.0,0.0,3991.73,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
43,"B0000700035271","2024-02-20",604219936,2,0.0,0.0,0.0,0.0,4338.84,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
50,"B0000700035278","2024-02-20",604754865,2,0.0,0.0,0.0,0.0,2776.86,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
53,"B0000700035281","2024-02-20",609426463,2,0.0,0.0,0.0,0.0,1442.16,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
54,"B0000700035282","2024-02-20",609426463,2,0.0,0.0,0.0,0.0,1700.24,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
55,"B0000700035283","2024-02-20",609426463,2,0.0,0.0,0.0,0.0,1366.26,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
56,"B0000700035284","2024-02-20",609426463,2,0.0,0.0,0.0,0.0,1821.68,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
57,"B0000700035285","2024-02-20",609426463,2,0.0,0.0,0.0,0.0,1867.22,0.0,"0.00",0.0,"0.00","0.00","","0.00",0.0,888
